Component,Failure Mode,Repurpose Option,Effectiveness,Notes
Diode (Silicon),Short Circuit,Low-value Resistor,Medium,0.05–2Ω range usable
Diode (Silicon),Short Circuit,Current Path/Jumper,High,1–3A capacity; 50–100mV drop
Diode (Silicon),Short Circuit,Temperature Sensor,Medium,2–3mV/°C sensitivity
Diode (Silicon),Open Circuit,Mechanical Spacer,High,Preserves original board layout
Diode (Silicon),Open Circuit,Antenna Element,Medium,Quarter-wave monopole from leads
Diode (Silicon),Parametric Degradation,Environmental Sensor,High,Multi-parameter: temp/humidity/radiation
Diode (Silicon),Parametric Degradation,Random Number Generator,High,1–100 kbits/sec entropy source
Diode (Zener),Voltage Shift,Non-Critical Voltage Reference,Medium,±100–500mV accuracy; threshold detection
Diode (Zener),Voltage Shift,Temperature Sensor,High,5–15mV/°C sensitivity; ±1–2°C accuracy
Diode (Zener),Increased Dynamic Resistance,Noise Generator,Medium,Controlled noise DC to several MHz
Diode (Zener),Increased Dynamic Resistance,Current Limiting Element,High,Soft current limiter; LED/sensor protection
Diode (Zener),Short Circuit,Low-Value Precision Resistor,Medium,0.1–3Ω; current sensing
Diode (Zener),Open Circuit,Precision Mechanical Spacer,High,Voltage-rated spacing; HV isolation
Diode (Schottky),Short Circuit,Low-Value Shunt Resistor,Medium,Current sense element
Diode (Schottky),Open Circuit,PCB Spacer,High,Maintains board geometry
Diode (Schottky),Leakage Increase,Humidity/Temperature Proxy,Medium,Leakage rises with heat and moisture
Diode (LED),Reduced Light Output,Low-Level Indicator,High,Standby indicators; power savings
Diode (LED),Reduced Light Output,Temperature Sensor,High,3–8mV/°C; ±1–2°C accuracy
Diode (LED),Reduced Light Output,Photodiode (Reverse Bias),Medium,Light sensor with spectral selectivity
Diode (LED),Complete Light Failure,Standard Diode Function,Medium,Rectification; protection; 20mA–1A
Diode (LED),Complete Light Failure,Photodiode,High,Pure photodetection without self-illumination
Diode (LED),Intermittent Operation,Thermal Stress Indicator,High,Temperature-dependent operation
Diode (Photodiode),Dark Current Increase,Noise Source / RNG,Medium,Entropy from dark current fluctuations
Diode (Photodiode),Dark Current Increase,Radiation Detector,Medium,Crude dosimeter
Diode (Photodiode),Sensitivity Loss,Binary Light/Dark Detector,Medium,Simple threshold detection
Diode (Photodiode),Open Circuit,Antenna Stub,Low,Lead geometry determines band
Resistor (Carbon Film),Open Circuit,PCB Spacer,High,Preserves board spacing and stability
Resistor (Carbon Film),Open Circuit,RF Parasitic Capacitor,Low,0.2–2pF between leads
Resistor (Carbon Film),Value Drift,Humidity/Temperature Proxy,Medium,ppm/°C increase; drift maps to environment
Resistor (Carbon Film),Short/Low-Ohm Scar,Jumper Wire,Medium,Lead gauge limits current to 1–3A
Resistor (Metal Film),Open Circuit,Mechanical Spacer,High,Very low parasitic C for RF decoupling
Resistor (Metal Film),Value Drift,Temperature Probe,Medium,More stable than carbon film; calibratable
Resistor (Metal Film),Short Circuit,Low-Ohm Current Sensor,Medium,mV per amp measurement
Resistor (Wire-Wound),Open Winding,Inductor Form / EMI Choke,Medium,Partial turns usable for LC tank
Resistor (Wire-Wound),Open Winding,Thermal Mass Spacer,High,Good heat spreading capability
Resistor (Wire-Wound),Hot-Spot Damage,Low-Value Heater,Medium,Partial turn short creates heating element
Resistor (Wire-Wound),Hot-Spot Damage,Current Shunt,Medium,Low-value resistance path
Resistor (Potentiometer),Dead Spots/Wiper Noise,Multi-Position Switch,Medium,Use only good segments of track
Resistor (Potentiometer),Open Track,Fixed Voltage Divider,Medium,Intact end segment still functions
Resistor (Thermistor),Value Drift,Relative Trend Sensor,Medium,Tracks temperature trends despite drift
Resistor (Thermistor),Open Circuit,Spacer with Minimal RF Capacitance,High,Minimal parasitic effects
Capacitor (Ceramic),Open Circuit,PCB Spacer / Parasitic Cap,Low,0.1–2pF remains between leads
Capacitor (Ceramic),Value Drift,Humidity Sensor,Medium,Capacitance vs RH drift exploitable
Capacitor (Ceramic),Short Circuit,Fused Link,Low,Sacrificial protection element only
Capacitor (Electrolytic),Dry-Out / Capacitance Loss,Insulating Spacer,Low,Low-value residual capacitance for timing
Capacitor (Electrolytic),Short Circuit,Fused Link / Thermal Mass,Low,Heat spreading in emergency
Capacitor (Electrolytic),Increased ESR,Crude Heating Element,Medium,ESR as resistive load for low-power heat
Capacitor (Film),Dielectric Breakdown,Fused Protection Element,Low,Parasitic capacitance still usable
Capacitor (Film),Capacitance Drift,Crude Timing Element,Medium,Environmental drift sensor
Capacitor (Film),Open Leads,Mechanical Spacer,High,Board stability element
Capacitor (Tantalum),Short Circuit,Fused Link,Low,Non-critical path protection only
Capacitor (Tantalum),Capacitance Loss,Weak Timing Element,Low,Spacer with residual capacitance
Capacitor (Tantalum),Increased Leakage,Environmental Sensor,Medium,Leakage correlates to temp/humidity
Capacitor (Supercapacitor),Capacitance Fade,Heating Element (ESR),Medium,Large ESR provides resistive heating
Capacitor (Supercapacitor),Capacitance Fade,Backup Timing Source,Low,Residual capacitance for timing
Capacitor (Supercapacitor),Increased ESR,Resistive Load / Health Monitor,Medium,ESR as sensing element
Capacitor (Supercapacitor),Mechanical Swelling,Pressure Indicator,Low,Mechanical stress sensing
Transistor (BJT),Collector-Emitter Short,Low-Value Resistor,Medium,0.05–1Ω usable range
Transistor (BJT),Collector-Emitter Short,PCB Jumper,Medium,Current path between pads
Transistor (BJT),Collector-Emitter Short,Thermal Sensor,Medium,Junction drop vs temperature
Transistor (BJT),Open Junction,Mechanical Spacer,High,Preserves PCB geometry
Transistor (BJT),Open Junction,Antenna Stub,Low,Leads usable as RF element
Transistor (BJT),Gain Degradation,Noise Source,High,Base leakage for entropy/RNG
Transistor (MOSFET),Drain-Source Short,Low-Value Resistor / Shunt,Medium,0.01–0.1Ω; ampere-range current sensing
Transistor (MOSFET),Drain-Source Short,Thermal Pad,Medium,Small heat spreader
Transistor (MOSFET),Open Circuit,Mechanical Spacer,High,Preserves PCB structure
Transistor (MOSFET),Open Circuit,Capacitive Element,Medium,Gate capacitance 10–1000pF for timing
Transistor (MOSFET),Parameter Drift,Voltage Sensor,Medium,Threshold drift as environmental proxy
Transistor (MOSFET),Parameter Drift,Noise Source / RNG,High,Entropy from leakage fluctuations
Transistor (MOSFET),Parameter Drift,Radiation Monitor,Medium,Leakage scales with dose
Transistor (Power),Short Circuit,Low-Ohm Resistor,Medium,Heat spreader or current path
Transistor (Power),Open Circuit,Spacer / Antenna Stub,Medium,Mechanical or RF element
Transistor (Power),Gain Degradation,Noise Source,Medium,Leakage-based entropy
Transistor (RF),Gain Collapse,Noise Source,Medium,Broadband noise generator
Transistor (RF),Open Junction,Antenna Stub,Low,Frequency-dependent element
Transistor (RF),Partial Leakage,Crude RF Detector,Medium,Leakage as RF energy indicator
Transistor (Switching),Open Junction,Spacer / Antenna Stub,Low,Lead length useful at HF/VHF
Transistor (Switching),Shorted Junction,Low-Value Jumper,Medium,Current shunt in non-critical paths
Transistor (Switching),Gain Loss / Parameter Drift,Noise Source / Drift Sensor,Medium,Environmental sensing via drift
Inductor (Ferrite Core),Open Winding,EMI Absorber,Medium,Ferrite core still effective for suppression
Inductor (Ferrite Core),Open Winding,Mechanical Spacer,High,Board spacing maintained
Inductor (Ferrite Core),Core Saturation / Damage,Partial Transformer Core,Low,Reduced inductance still useful
Inductor (Ferrite Core),Core Saturation / Damage,Thermal Sink,Low,Heat spreading capability
Inductor (Ferrite Core),Resistance Increase,Heating Element,Low,Low-power thermal applications
Inductor (Air Core),Open Winding,Antenna Coil Form,Medium,Coil geometry usable for RF
Inductor (Air Core),Open Winding,PCB Spacer,High,Maintains board layout
Inductor (Air Core),Mechanical Deformation,Crude Strain Sensor,Low,Altered inductance tracks deformation
Inductor (Choke),Open Winding,EMI Absorber,Medium,Ferrite body still absorbs EMI
Inductor (Choke),Saturation / Core Damage,Crude Thermal Sink,Low,Partial inductor for low-current filtering
Inductor (Choke),Resistance Drift,Heating Element / Stress Indicator,Low,Resistance change tracks degradation
Inductor (Transformer),Open Winding,Single-Winding Inductor,Medium,Remaining windings still functional
Inductor (Transformer),Shorted Turns,Crude Heating Element,Low,Resistive heating from shorted winding
Inductor (Transformer),Core Damage,EMI Absorber Fragments,Low,Ferrite fragments for suppression
IC (Microcontroller),Flash Wear-Out,Fixed-Function Controller,Medium,ROM firmware locked; no reprogramming
IC (Microcontroller),Peripheral Failure,Signal Router via Remaining GPIOs,Medium,Fixed pull-ups; partial I/O
IC (Microcontroller),CPU Lockup,Oscillator Source,Low,Internal clock as timing element
IC (Processor),Partial Core Failure,Reduced-Core Computing,High,Task-specific engine with fewer cores
IC (Processor),Cache Errors,Entropy Source,Medium,Bit flips as random data
IC (Processor),I/O Bus Failure,Internal ALU Reuse,Low,Math co-processor if accessible
IC (Memory Controller),Address Line Failure,Reduced Memory Space,Medium,Address remapping to working lines
IC (Memory Controller),Timing Drift,Variable Delay Element,Low,Crude timing generator
IC (Power Management),Shorted Regulator,Low-Value Resistor / Thermal Pad,Medium,Heat spreading element
IC (Power Management),Open Control Loop,Fixed Voltage Drop Element,Low,Passive voltage offset
IC (Power Management),Drifted Reference,Environmental Voltage Sensor,Medium,Temperature-dependent reference drift
IC (Communication),Transmitter Burnout,Receiver-Only Mode,Medium,Half-duplex operation preserved
IC (Communication),Transmitter Burnout,Noise Detector,Low,Burned input as broadband detector
IC (Communication),Frequency Drift,Crude RF Oscillator,Medium,Drift exploitable for sensing
IC (Communication),Protocol Logic Failure,Partial Repeater,Low,Signal relay with limited protocol
Sensor (Temperature),Open Circuit,Mechanical Spacer,High,Parasitic capacitance element
Sensor (Temperature),Value Drift,Relative Trend Sensor,Medium,Not absolute; tracks direction of change
Sensor (Temperature),Increased Noise,Entropy Source,Medium,Random generation from junction noise
Sensor (Pressure),Reduced Sensitivity,Binary Threshold Detector,Medium,On/off pressure detection
Sensor (Pressure),Mechanical Damage,Vibration / Shock Indicator,Low,Impact detection only
Sensor (Optical),Dark Current Increase,Random Noise Generator,Medium,Entropy from dark current
Sensor (Optical),Dark Current Increase,Radiation Detector,Medium,Crude dosimeter function
Sensor (Optical),Reduced Sensitivity,Binary Light/Dark Detector,Medium,Simple threshold detection
Sensor (Magnetic),Offset Drift,Relative Change Detector,Medium,Motion or presence sensing
Sensor (Magnetic),Loss of Sensitivity,Threshold Switch,Low,Large-field detection only
Sensor (Chemical),Sensitivity Drift,Relative Indicator,Low,Long-term environmental monitoring
Sensor (Chemical),Open Circuit,Spacer / Humidity Proxy,Low,Package absorbs moisture
Storage (Flash Memory),Stuck Bits,ROM with Fixed Data,Medium,Firmware stubs; lookup tables
Storage (Flash Memory),Endurance Limit,Append-Only Logging,Medium,Write-limited but still readable
Storage (Flash Memory),Endurance Limit,Entropy Source,Medium,Read errors as random data
Storage (EEPROM),Write Failure,Permanent Calibration Storage,Medium,Locked data still readable
Storage (EEPROM),Data Retention Loss,Drift Tracker / Entropy Source,Low,Bit decay as random or trend data
Storage (Hard Drive),Head Crash,Spindle Motor Generator,Medium,Mechanical energy conversion
Storage (Hard Drive),Head Crash,Reflective Optical Element,Low,Platter as mirror/reflector
Storage (Hard Drive),Bad Sectors,Partial Capacity Storage,Medium,Remap around bad sectors
Storage (Hard Drive),Bad Sectors,Entropy Source,Low,Error distribution as random data
Storage (Optical Media),Surface Scratches,Diffraction Element,Medium,Optical calibration grating
Storage (Optical Media),Read Errors,Entropy Source / Calibration Tool,Low,Error patterns as random data
Storage (SD Card),File System Corruption,Raw Block Storage,Medium,Append-only logging; bypass filesystem
Storage (SD Card),Bad Blocks,Circular Buffer (Partial),Low,Reduced capacity still usable
Storage (SD Card),Bad Blocks,Entropy Source,Low,Block error patterns as random data
Connector (Pin Header),Contact Corrosion,Humidity Sensor,High,40–95% RH; ±5% with calibration
Connector (Pin Header),Contact Corrosion,Contamination Detector,Medium,Dendritic growth detection via resistance
Connector (Pin Header),Mechanical Wear,Vibration Sensor,Medium,Intermittent contact as vibration switch
Connector (Pin Header),Mechanical Wear,Mechanical Spacer,High,Pin geometry preserves PCB spacing
Connector (Pin Header),Solder Joint Failure,Thermal Cycling Indicator,Medium,Crack progression tracks thermal stress
Connector (Edge),Contact Oxidation,Air Quality Sensor,Medium,Oxidation rate correlates with contaminants
Connector (Edge),Contact Oxidation,Humidity Monitor,Medium,Tarnish rate varies with humidity
Connector (Edge),Mechanical Misalignment,Reduced-Channel Interface,Medium,Use remaining good contacts
Connector (Edge),Fretting Corrosion,Vibration Detector,Medium,Resistance spikes correlate with vibration
Connector (Board-to-Wire),Crimp Degradation,Temperature Indicator,Medium,Localized heating at bad crimp
Connector (Board-to-Wire),Crimp Degradation,Vibration-Activated Switch,Medium,Intermittent connection correlates with vibration
Connector (Board-to-Wire),Housing Fatigue,Wire Guide,High,Physical form factor maintained
Connector (Board-to-Wire),Pin Corrosion,Humidity Sensor,Medium,Corrosion resistance correlates with humidity
Relay,Contact Welding,Permanent Jumper,High,Original current rating maintained
Relay,Contact Welding,Electromagnetic Actuator,High,Coil preserved for magnetic field generation
Relay,Contact Welding,Inductance Element,Medium,Coil as inductor; mH range
Relay,Coil Failure (Open),Mechanical Switch,Medium,Manual actuation; 5–50g force
Relay,Coil Failure (Open),Antenna Coil,Medium,Winding as RF element; 1–100 MHz
Relay,Contact Erosion,Signal-Level Switch,Medium,Low-current signals still switch
Relay,Spring Fatigue,Low-Force Switch,Medium,Reduced spring = more sensitive
Relay,Spring Fatigue,Vibration Sensor,Low,Weakened spring causes detectable bounce
Switch,Contact Bounce,Noise Source / Entropy,Medium,Bounce as random data for RNG
Switch,Contact Bounce,Vibration-Activated Trigger,Medium,Degraded contact closes under vibration
Switch,Mechanical Failure (Stuck Closed),Fixed Jumper,High,Permanent connection; rating preserved
Switch,Mechanical Failure (Stuck Open),Spacer / Mount Point,High,Physical form factor maintained
Switch,Contact Resistance Increase,Pressure-Variable Resistor,Low,Resistance varies with actuation force
Switch,Contact Resistance Increase,Environmental Indicator,Medium,Oxide buildup tracks humidity/contamination
Motor,Brush Wear,Generator,High,Spin shaft for proportional voltage output
Motor,Brush Wear,Tachometer,High,Back-EMF proportional to RPM
Motor,Brush Wear,Vibration Source,Medium,Unbalanced rotor creates vibration
Motor,Winding Failure (Open),Inductor / Choke,Medium,Intact windings for filtering; mH range
Motor,Winding Failure (Short),Heating Element,Medium,Resistive heating from shorted turns
Motor,Bearing Failure,Low-Speed Generator,Medium,Reduced efficiency; still generates voltage
Motor,Bearing Failure,Static Electromagnet,High,Energize windings without rotation
Motor,Demagnetization,Weak Magnetic Source,Medium,Reed switch actuation at close range
Solenoid,Coil Burnout (Open),Ferromagnetic Core,High,Iron core for EMI absorber / field concentrator
Solenoid,Coil Burnout (Open),Mechanical Plunger,Medium,Manual actuation with spring return
Solenoid,Plunger Stuck,Static Electromagnet,High,Coil generates field without motion
Solenoid,Plunger Stuck,Inductor,Medium,Coil with iron core; mH–H range
Solenoid,Weak Pull,Low-Force Actuator,Medium,Light-duty tasks; paper feed; flag actuation
Solenoid,Weak Pull,Vibration Generator,Medium,Incomplete actuation under PWM
Voltage Regulator,Increased Dropout,Temperature Sensor,High,2–10 mV/°C; ±3°C linearity
Voltage Regulator,Increased Dropout,Current Limiter,Medium,Dropout limits current; ±20% accuracy
Voltage Regulator,Output Voltage Drift,Non-Critical Voltage Source,Medium,Acceptable for tolerant loads
Voltage Regulator,Output Voltage Drift,Environmental Voltage Sensor,Medium,Drift correlates with temperature
Voltage Regulator,Short Circuit (I/O),Low-Value Resistor,Medium,0.05–1Ω; current sensing
Voltage Regulator,Short Circuit (I/O),Thermal Pad / Heat Spreader,Medium,TO-220/D2PAK designed for thermal mgmt
Voltage Regulator,Open Circuit,Mechanical Spacer,High,TO-220 heatsink mount; SOT-223 board spacing
Power Diode,Short Circuit,High-Current Jumper,High,3–60A capacity; original rating maintained
Power Diode,Short Circuit,Current Shunt Resistor,High,Very low R; millivolt drop at high current
Power Diode,Short Circuit,Heat Spreader,Medium,TO-220/TO-247 thermal management
Power Diode,Open Circuit,High-Power Spacer,High,Heatsink mounting; electrical isolation
Power Diode,Open Circuit,Thermal Mass Element,Medium,Significant heat capacity in large packages
Power Diode,Increased Forward Voltage,Temperature Sensor,High,Enhanced 5–15 mV/°C sensitivity
Power Diode,Increased Forward Voltage,Voltage Drop Element,Medium,Fixed voltage offset; crude reference
Power Transformer,Winding Open,Single-Winding Inductor,High,mH–H range; high-quality inductance
Power Transformer,Winding Open,EMI Common-Mode Choke,Medium,Core properties preserved
Power Transformer,Winding Open,Isolation Barrier,High,Galvanic isolation maintained mechanically
Power Transformer,Shorted Turns,Heating Element,Medium,Resistive loss as heat source
Power Transformer,Shorted Turns,Current Transformer,Medium,Shorted secondary as single-turn CT
Power Transformer,Core Damage,EMI Absorber,Medium,Damaged core still absorbs RF
Power Transformer,Core Damage,Mechanical Mass / Damper,High,Heavy core as vibration dampener
Power Transformer,Insulation Breakdown,Low-Voltage Transformer,Medium,Reduced isolation adequate for <50V
Power Transformer,Insulation Breakdown,Coupled Inductor,Medium,Magnetic coupling preserved
